Date,TotalSales,InvoiceCount,ItemCount,AOV,Forecast,Best,Worst
2010-12-05,169550.5,393.0,80657.0,1888.8382702766057,169550.5,263901.1575875754,94069.97392993969
2010-12-12,303552.02999999997,496.0,108782.0,3677.8630119722748,303552.02999999997,435642.95062260557,195462.8924124246
2010-12-19,198597.17,415.0,96247.0,2895.3344834450977,198597.17,330688.0906226056,97592.57241242462
2010-12-26,76569.28,143.0,28474.0,1985.1839457328388,76569.28,208660.20062260554,22945.456964969842
2011-01-02,0.0,0.0,0.0,0.0,0.0,132090.92062260554,0.0
2011-01-09,116114.0,224.0,65939.0,2554.4017390345507,116114.0,248204.92062260554,29719.04544745477
2011-01-16,147688.38,227.0,66411.0,3615.361077368246,147688.38,279779.30062260554,47661.72544745476
2011-01-23,181925.48,207.0,123627.0,5064.657902563267,181925.48,314016.4006226056,85633.76544745477
2011-01-30,97980.42,258.0,49333.0,2244.521256535948,97980.42,230071.34062260555,5150.548482484923
2011-02-06,109837.89,265.0,62246.0,2445.111486351749,109837.89,241928.81062260555,13318.553929939688
2011-02-13,92585.26,204.0,44192.0,2624.137033646735,92585.26,224676.18062260555,6551.2754474547655
2011-02-20,110220.15,268.0,61865.0,2520.1363836621836,110220.15,242311.07062260553,10451.88392993969
2011-02-27,116043.61,264.0,63860.0,2612.885241815771,116043.61,248134.53062260555,18433.99392993969
2011-03-06,96633.27,252.0,50514.0,2318.339674761295,96633.27,228724.19062260553,52.608482484924025
2011-03-13,115515.92,271.0,59433.0,2427.9055906849103,115515.92,247606.84062260555,18437.283929939687
2011-03-20,134222.15,303.0,74005.0,2639.902411788027,134222.15,266313.07062260556,23405.73392993969
2011-03-27,131969.69,290.0,68620.0,2673.676621142974,131969.69,264060.61062260554,31249.563929939693
2011-04-03,156816.03,330.0,83919.0,2793.1081832501536,156816.03,288906.95062260557,55524.01392993969
2011-04-10,106982.62,289.0,56800.0,2237.0919287337492,106982.62,239073.54062260553,8755.185447454769
2011-04-17,135457.78100000002,343.0,81073.0,2348.8276618475115,135457.78100000002,267548.70162260556,29458.583412424618
2011-04-24,129630.2,249.0,69979.0,2057.873706567018,129630.2,261721.12062260555,54149.673929939694
2011-05-01,80322.45,200.0,48613.0,1559.112665939751,80322.45,212413.37062260555,17832.72544745477
2011-05-08,130340.89,337.0,68868.0,1965.6634846528345,130340.89,262431.81062260555,37947.923929939694
2011-05-15,162544.89,393.0,78418.0,2399.3516154936233,162544.89,294635.81062260555,59025.13241242462
2011-05-22,181466.07,414.0,89315.0,2645.350195876118,181466.07,313556.99062260555,68245.28089490953
2011-05-29,140186.28,315.0,71942.0,2568.9794092878274,140186.28,272277.2006226055,39024.05241242461
2011-06-05,98562.92000000001,232.0,48313.0,2124.2046177002567,98562.92000000001,230653.84062260555,12510.11544745477
2011-06-12,195326.69,370.0,83644.0,3246.190158163465,195326.69,327417.61062260554,93156.3539299397
2011-06-19,138720.18,336.0,72369.0,2450.120655129678,138720.18,270811.10062260553,33655.306964969845
2011-06-26,109088.7,297.0,61272.0,2148.4904677250447,109088.7,241179.62062260555,13479.27544745477
2011-07-03,113738.29000000001,262.0,58965.0,2424.4874875242404,113738.29000000001,245829.21062260555,24621.286964969848
2011-07-10,158338.47,331.0,81924.0,2835.715690002526,158338.47,290429.3906226055,57993.942412424614
2011-07-17,115853.5,292.0,67058.0,2374.954136014185,115853.5,247944.42062260554,13368.145447454768
2011-07-24,168650.44,332.0,91512.0,3061.024027185492,168650.44,300741.36062260554,55833.012412424614
2011-07-31,142123.22100000002,315.0,84512.0,2633.4874396382584,142123.22100000002,274214.14162260556,35591.11492993969
2011-08-07,147672.54,286.0,90494.0,2887.9996173770933,147672.54,279763.4606226056,47611.25392993969
2011-08-14,144232.77,249.0,67160.0,3205.9716323739244,144232.77,276323.69062260556,48002.57392993969
2011-08-21,132737.88,283.0,75283.0,2791.0513749379584,132737.88,264828.80062260554,38457.79696496985
2011-08-28,134751.94,315.0,80296.0,2452.233302450845,134751.94,266842.86062260554,35985.23544745477
2011-09-04,129302.26000000001,254.0,65775.0,2581.1989204503043,129302.26000000001,261393.18062260555,42168.05544745477
2011-09-11,154349.06,353.0,89974.0,2674.546938213028,154349.06,286439.98062260554,41128.27089490954
2011-09-18,208903.78,342.0,107170.0,3576.221885621788,208903.78,340994.70062260557,98807.39241242461
2011-09-25,276111.681,401.0,135198.0,4175.061715963747,276111.681,408202.6016226055,162890.89189490952
2011-10-02,188696.571,407.0,108833.0,2724.740553173627,188696.571,320787.49162260554,82711.38341242462
2011-10-09,276584.07,441.0,148500.0,3697.764610898198,276584.07,408674.99062260555,169709.0124124246
2011-10-16,329166.33,702.0,170412.0,5299.6749506247115,386215.834751966,631527.544479662,179473.99982484922
2011-10-23,399754.86,790.0,207804.0,6184.818272729367,433198.904609375,697380.7458545861,214303.3923248492
2011-10-30,423752.08,964.0,257274.0,5359.858321255162,430797.6249609375,694979.4662061486,210171.71830733414
2011-11-06,536079.18,964.0,284458.0,6801.647731369556,519524.891001966,783706.732247177,293082.52546169405
2011-11-13,666269.74,1160.0,322964.0,6970.533573178111,572103.53015625,836285.3714014611,347215.02096358413
2011-11-20,663789.96,1206.0,315224.0,6685.4169516395505,568482.478046875,832664.3192920862,342400.5801823341
2011-11-27,553977.38,1122.0,271988.0,5840.120516752247,528486.0571875001,792667.8984327111,302044.4789773191
2011-12-04,584869.26,1216.0,278918.0,5676.43469545168,506047.131891315,770228.9731365261,285340.28096358414
2011-12-11,937374.0800000001,926.0,449562.0,15964.177882677708,663686.30953125,852387.6247064008,474984.9943560992
