Date,TotalSales,InvoiceCount,ItemCount,AOV,Forecast,Best,Worst
2010-12-01,54818.08,120.0,24014.0,456.81733333333335,54818.08,73688.21151751508,35947.94848248492
2010-12-02,47570.53,140.0,31175.0,339.7895,47570.53,66440.66151751508,28700.39848248492
2010-12-03,41308.69,54.0,11808.0,764.9757407407408,41308.69,60178.82151751508,22438.558482484925
2010-12-04,0.0,0.0,0.0,0.0,0.0,18870.131517515078,0.0
2010-12-05,25853.2,79.0,13660.0,327.2556962025317,25853.2,44723.33151751508,6983.068482484923
2010-12-06,53322.12,97.0,21039.0,549.7125773195877,53322.12,72192.25151751508,34451.98848248493
2010-12-07,96860.63,80.0,23994.0,1210.757875,96860.63,115730.76151751509,77990.49848248492
2010-12-08,41354.56,110.0,20459.0,375.9505454545454,41354.56,60224.69151751508,22484.42848248492
2010-12-09,43993.63,94.0,16023.0,468.01734042553187,43993.63,62863.76151751507,25123.49848248492
2010-12-10,54282.61,72.0,19073.0,753.9251388888889,54282.61,73152.74151751508,35412.47848248492
2010-12-11,0.0,0.0,0.0,0.0,0.0,18870.131517515078,0.0
2010-12-12,13738.48,43.0,8194.0,319.4995348837209,13738.48,32608.611517515077,0.0
2010-12-13,37113.25,68.0,17425.0,545.7830882352941,37113.25,55983.38151751508,18243.118482484922
2010-12-14,42475.91,88.0,19127.0,482.6807954545455,42475.91,61346.041517515085,23605.778482484926
2010-12-15,30248.73,73.0,18359.0,414.3661643835616,30248.73,49118.86151751508,11378.598482484922
2010-12-16,47748.090000000004,118.0,28328.0,404.6448305084746,47748.090000000004,66618.22151751508,28877.958482484926
2010-12-17,34357.25,47.0,9701.0,731.0053191489362,34357.25,53227.38151751508,15487.118482484922
2010-12-18,0.0,0.0,0.0,0.0,0.0,18870.131517515078,0.0
2010-12-19,6653.94,21.0,3307.0,316.8542857142857,6653.94,25524.071517515076,0.0
2010-12-20,23507.76,55.0,13269.0,427.41381818181816,23507.76,42377.891517515076,4637.628482484921
2010-12-21,37177.96,49.0,8256.0,758.7338775510204,37177.96,56048.09151751507,18307.82848248492
2010-12-22,5488.85,15.0,2238.0,365.92333333333335,5488.85,24358.98151751508,0.0
2010-12-23,10394.71,24.0,4711.0,433.11291666666665,10394.71,29264.841517515077,0.0
2010-12-24,0.0,0.0,0.0,0.0,0.0,18870.131517515078,0.0
2010-12-25,0.0,0.0,0.0,0.0,0.0,18870.131517515078,0.0
2010-12-26,0.0,0.0,0.0,0.0,0.0,18870.131517515078,0.0
