Date,TotalSales,InvoiceCount,ItemCount,AOV,Forecast,Best,Worst
2010-12-31,748268.98,1447.0,314160.0,10447.219711426817,748268.98,1333243.0570429675,410070.89571975876
2011-01-31,561289.98,971.0,315717.0,13798.609248229284,561289.98,1146264.0570429675,168165.0848248492
2011-02-28,430027.95,995.0,230269.0,10268.781240096105,430027.95,958391.6324904221,48808.31571975876
2011-03-31,586230.28,1308.0,304992.0,11785.380817178971,586230.28,1171204.3570429673,124425.83723727384
2011-04-30,476517.761,1153.0,276279.0,8538.436319013008,476517.761,1042621.7065254523,114386.92671975878
2011-05-31,639314.36,1523.0,321773.0,10327.249348614532,639314.36,1224288.4370429674,204269.15813218337
2011-06-30,619510.67,1383.0,305101.0,11488.307036495979,619510.67,1185614.6155254524,177395.570272304
2011-07-31,601994.841,1337.0,334410.0,11408.30594045951,601994.841,1186968.9180429673,162786.21520224368
2011-08-31,608047.48,1210.0,332758.0,12596.436149811885,608047.48,1193021.5570429675,182523.28875478893
2011-09-30,897076.4720000001,1645.0,479040.0,14140.174647893287,897076.4720000001,1463180.4175254523,415239.5655796381
2011-10-31,1547314.8699999999,3054.0,830973.0,22619.170642626876,1640176.3432285285,2621423.1821393124,837663.238740677
2011-11-30,2650692.42,4980.0,1309984.0,27668.37398662221,2372345.087173841,3504552.978224746,1393010.2102961212
2011-12-31,1185244.18,1492.0,574532.0,18525.31802018435,884239.9317350651,1223902.2990503365,588052.5547372738
